Fund Name,Jan 2026,Feb 2026,Aug 2020 (sample)
AB Capital Balanced Fund,,,
AB Capital Equity Fund,,,
AB Capital Short-Term Fund,,,
ABF Philippines Bond Index Fund,20512637730.86,,15003239281.04
AIA Peso Equity Fund,,,
AIA Peso Long Term Fund,,,
AIA Peso Medium Term Fund,,,
AIA Peso Money Market Fund,,,
"ALFM Dollar Bond Fund, Inc.",193769586.23,,256430579.1
"ALFM Euro Bond Fund, Inc.",10404561.78,,16854768.36
ALFM Global Multi-Asset Income Feeder Fund,,,
ALFM Global Multi-Asset Income Feeder Fund (PHP Class),9891407766.28,,
"ALFM Growth Fund, Inc.",3548372712.08,,4731487201.22
"ALFM Money Market Fund, Inc.",19313971367.08,,34040935315.099995
"ALFM Money Market Fund, Inc. (Units)",13994240451.29,,
"ALFM Peso Bond Fund, Inc.",34644888177.23,,43939409724.78
"ATRAM Alpha Opportunity Fund, Inc.",,,
ATRAM Asia Equity Opportunity Feeder Fund,,,91150588.72133857
ATRAM Asian Multi-Asset Income Feeder Fund,,,
"ATRAM AsiaPlus Equity Fund, Inc.",,,
"ATRAM Corporate Bond Fund, Inc.",,,
ATRAM Developed Markets Multi-Asset Fund-of-Funds (Class A),,,
ATRAM Developed Markets Multi-Asset Fund-of-Funds (Class I),,,
ATRAM Dollar Short Term Income Feeder Fund,,,
ATRAM Emerging Markets Bond Feeder Fund,,,340000
ATRAM Emerging Markets Equity Opportunity Feeder Fund,,,3420000
ATRAM European Equity Opportunity Feeder Fund,,,4340000
ATRAM Global Allocation Feeder Fund (PHP Unit Class),,,
ATRAM Global Allocation Feeder Fund (USD Unit Class),,,7560000
ATRAM Global Bond Income Feeder Fund,,,37455897.541830204
ATRAM Global Consumer Trends Feeder Fund,,,
ATRAM Global Dividend Feeder Fund,,,2396290000
ATRAM Global Equity Opportunity Feeder Fund (PHP Unit Class),,,
ATRAM Global Equity Opportunity Feeder Fund (USD Unit Class),,,10350000
ATRAM Global Financials Feeder Fund,,,
ATRAM Global Health Care Feeder Fund,,,
ATRAM Global Infra Equity Feeder Fund,,,
ATRAM Global Multi-Asset Income Feeder Fund (PHP Unit Class),,,
ATRAM Global Multi-Asset Income Feeder Fund (USD Unit Class),,,
ATRAM Global Technology Feeder Fund,,,1177420000
ATRAM Global Total Return Bond Feeder Fund,,,58320000
ATRAM Long Term Peso Bond Fund (Class A),,,
ATRAM Long Term Peso Bond Fund (Class I),,,
ATRAM Peso Diversified Income Fund,,,
ATRAM Peso Money Market Fund,,,863630000
"ATRAM Philippine Balanced Fund, Inc.",,,
ATRAM Philippine Equity Index Tracker Fund (Class A),,,
ATRAM Philippine Equity Index Tracker Fund (Class I),,,
ATRAM Philippine Equity Index Tracker Fund (Class V),,,
ATRAM Philippine Equity Opportunity Fund,,,
ATRAM Philippine Equity Smart Index Fund,,,213490000
ATRAM Philippine Sustainable Development and Growth Fund (A Unit Class),,,
ATRAM Philippine Sustainable Development and Growth Fund (Y Unit Class),,,
"ATRAM Total Return Dollar Bond Fund, Inc.",,,
ATRAM Medium Term Peso Bond Fund,,,861780000
"ATRAM Unicapital Diversified Growth Fund, Inc.",,,
ATRAM US Equity Opportunity Feeder Fund,,,4080000
ATRAM US Multi-Asset Income Feeder Fund,,,
ATRAM USD Asian High Yield Bond Feeder Fund (Class A),,,
ATRAM USD Asian High Yield Bond Feeder Fund (Class I),,,
ATRAM USD Global Technology Leaders Feeder Fund (Class A),,,
ATRAM USD Global Technology Leaders Feeder Fund (Class I),,,
AUB Equity Investment Fund,,,
AUB Gold Dollar Fund,,,
AUB Peso Investment Fund,,,
AUB Peso Money Market Fund,,,
BDO CHINA EQUITY FEEDER FUND,,,5136900
BDO DEVELOPED MARKETS PROPERTY INDEX FEEDER FUND,,,13540400
BDO Dollar Bond Fund,,,54468000
BDO DOLLAR MONEY MARKET FUND,,,885533000
BDO EQUITY FUND,,,11173000000
BDO EQUITY INDEX FUND,,,4784000000
BDO ESG Equity Fund,,,
BDO EUROPE EQUITY FEEDER FUND,,,3904000
BDO FOCUSED EQUITY FUND,,,767000000
BDO GLOBAL EQUITY INDEX FEEDER FUND,,,49911700
BDO GLOBAL EQUITY SELECT FEEDER FUND,,,
BDO GS FUND,,,
BDO INSTITUTIONAL CASH RESERVE FUND,,,43394000000
BDO INSTITUTIONAL EQUITY FUND,,,
BDO JAPAN EQUITY INDEX FEEDER FUND,,,115541100
BDO MERIT FUND INTERMEDIATE TERM PORTFOLIO,,,
BDO Merit Fund Medium Term Portfolio,,,
BDO PESO BALANCED FUND,,,2458000000
BDO PESO BOND FUND,,,8744000000
BDO PESO MONEY MARKET FUND,,,108882000000
BDO SHORT TERM FUND,,,159397000000
BDO DIVIDEND FUND,,,1682000000
BDO US EQUITY FEEDER FUND,,,2546400
BEST BALANCED FUND,,,
BOC Diversity Dollar Bond Fund,,,
BPI Fixed Income Portfolio Fund-of-Funds,0,,2516166.38
BPI Invest Balanced Fund,4981362593.51,,4645727468.91
BPI Invest Bayanihan Balanced Fund,155256337.15,,205402455.61
BPI Invest Catholic Values Global Equity Feeder Fund,528761775.96,,174928719.85
BPI Invest Equity Value Fund,3804244168.72,,4288149079.82
BPI Invest European Equity Feeder Fund,19421545.59,,6398538.71
BPI Invest Global Bond Fund-of-Funds,25471685.24,,15010648.37
BPI Invest Global Equity Fund-of-Funds,219023690.99,,127193348.44
BPI Invest Global Health Care Feeder Fund,4076926.07,,
BPI Invest Money Market Fund,44306821397.53,,40338434096.24
BPI Invest Philippine Consumer Equity Index Fund,793771806.37,,1072204419.48
BPI Invest Philippine Dollar Bond Index Fund,25842221.77,,58887663.57
BPI Invest Philippine Equity Index Fund,49945031245.1,,43035431109.78
BPI Invest Philippine High Dividend Equity Fund,10066257454.09,,6924691174.81
BPI Invest Philippine Infrastructure Equity Index Fund,1199997310.94,,959050554.95
BPI Invest Premium Bond Fund,8576508067.66,,6400243049.57
BPI Invest Short Term Fund,83015218954.38,,80277594505.14
BPI Invest Sustainable Global Balanced Fund-of-Funds,647542.06,,
BPI Invest Sustainable Global Bond Fund-of-Funds,1364175.72,,
BPI Invest Sustainable Global Equity Fund-of-Funds,1617055.81,,
BPI Invest US Dollar Income Feeder Fund,0,,26877023.09
BPI Invest US Dollar Short Term Fund,852719496.47,,732484639.46
BPI Invest US Equity Index Feeder Fund,259452639.08,,48664318.14
BPI Invest World Technology Feeder Fund,36233388.92,,
China Bank Balanced Fund,,,272800000
China Bank Cash Fund,,,11020000000
China Bank Dollar Cash Fund,,,
CHINABANK DOLLAR FIXED INCOME FUND,,,11900000
CHINA BANK EQUITY FUND,,,1154000000
China Bank Fixed Income Fund,,,314900000
CHINA BANK HIGH DIVIDEND EQUITY FUND,,,409000000
CHINA BANK INTERMEDIATE FIXED-INCOME FUND,,,314300000
CHINA BANK MONEY MARKET FUND,,,25840000000
CHINA BANK PHILIPPINE EQUITY INDEX TRACKER FUND,,,
CHINA BANK SHORT-TERM FUND,,,10400000000
BPI Global Bond Income Fund (USD Class),42497787.66,,
BPI Global Bond Income Fund (PHP Class),3855713605.48,,
CLASS III - UNLAD PANIMULA MM FUND,,,
